"rumah_sakit","specialty","golongan","service_code","nama_layanan"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010048","Pasang Skeletal Traksi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010049","Pasang Skull Traction"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010051","Cross Finger Flap"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010055","Hecting Luka Ringan"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010059","Insisi Abses Besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010060","Manipulasi Frozen Shoulder (Narkosis)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010062","Open Biopsi Soft Tissue"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010063","Open Biopsi Bone Tumor"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010071","Tenotomy Simple"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010082","Kuretase Tumor Tulang Kecil"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010101","Release Plantar Fasciitis"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010105","Release Trigger Finger"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010106","Release Trigger Thumb"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010111","V-Y Flap for Finger Tip Injury"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010122","Repair Tendon Simple atau 1 - 2"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010136","Skin Graft Kecil"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010211","Biopsi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010213","Aff Pin dan Wire dengan Lokal Prosedur"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010219","Aplikasi Plaster Ekstremitas dan Vertebra"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010221","Synovectomy Small Joint"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010234","Biopsi Vertebra (1 Level)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010235","Excision Arthroplasty of Small Joint"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010243","Reposisi Tertutup + Gips"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010244","Debridement Digiti"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010245","Drainase Infeksi Superficial"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010247","Crush Injury Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010248","Tendon Sheath (Ekstremitas Atas, Ganglion/ Villo Nodular Synovitis, Excision)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010256","Open Biopsi Tumor Vertebra"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010259","Repair Nail Bed Laceration > 1 Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010261","Tendon (Extremitas Atas), Bowstringing/ Entrapment, Pulley Rekonstruksi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010262","Tendon Sheath (Ekstremitas Atas, Tenosynovitis (Multiple), Drainase)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010279","Full Thickness Skin Graft (FTSG) Single Digiti"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010303","Release Tennis Elbow"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010402","ORIF Wire Manus (Phalang, Metacarpal)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010444","Debridement ORIF Wire Digiti Manus"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010448","Debridement + VAC"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010454","Injeksi Intralesi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010465","Red Block + Transforaminal Epidural Steroid"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010468","Percutaneous Pining/ Wiring"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010469","Wound Debridement Crush Injury"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","SEDANG 1","BOTD010470","Marginal Excisi Bone Tumor"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010002","Aff Implant Kompleks"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010004","Aff K Wire Multiple"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010009","Amputasi Transmedular"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010011","Ray Amputasi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010012","Artrodesis Sendi Kecil"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010016","Sacro Illiac Joint Injection"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010017","Spinal Facet Block"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010018","Spinal Epidural Injection"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010019","Spinal Nerve Block"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010022","Debridement of Infected Joint Replacement"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010023","Debridement Osteomielitis"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010024","Darrach Procedure"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010029","Eksisi Kista Poplitea (Kista Baker)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010030","Eksisi Osteochondroma"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010031","Eksisi Polidaktili"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010034","Eksisi Soft Tissue Tumor Besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010036","Eksisi Tophus 2 - 3 buah"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010039","Eksplorasi dan Ekstraksi Corpus Alienum"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010042","Fasciotomi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010043","Fiksasi Eksterna"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010053","Gastrocnemius Flap"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010054","Gluteal Flap"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010056","Inguinal Flap"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010057","Soleus Flap"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010061","Open Achilles Tendon Lengthening"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010064","Open Epiphysiodesis"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010066","Muscle Transfer or Transplantation"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010068","Tendon Lengthening"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010070","Tendon Transfer > 2 buah"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010072","ORIF Fracture Simple"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010083","Kuretase Tumor Tulang Panjang"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010084","Patellectomy"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010087","Rekonstruksi Distal Radio Ulnar Joint"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010088","Rekonstruksi Polidaktili (Bilhaut Cloquet)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010090","Reseksi + Rekonstruksi Tumor Tulang Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010094","Release Carpal Tunnel"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010095","Release Constriction Band"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010097","Release Dupuytren Contracture"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010099","Release Kontraktur Sendi Kecil"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010100","Release Kontraktur Sendi Besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010102","Release Sindaktili"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010104","Release Torticolis Bipolar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010103","Release Torticolis Unipolar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010107","Release/ Decompression Peripheral Nerve"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010108","Sciatic Nerve Release/ Decompression"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010109","Soft Tissue Release CTEV"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010110","Soft Tissue Release Kontraktur Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010112","Repair Hallux Valgus"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010116","Repair Medial Patello Femoral Ligament (MPFL)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010117","Repair Nerve Perifer"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010118","Repair Peripheral Nerve Grafting"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010119","Repair Tendon Achilles"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010121","Repair Tendon Patella"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010123","Repair Tendon Kompleks atau > 2"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010124","Repair Vaskuler Perifer"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010128","Reposisi Tertutup Dislokasi Jari Kaki"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010129","Reposisi Tertutup Dislokasi Jari Tangan"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010130","Reposisi Tertutup Fraktur"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010131","Reposisi Tertutup Sendi besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010132","Revisi Stump Sendi Besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010133","Revisi Stump Sendi Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010137","Skin Graft Besar/ Luas"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010196","Staged Local Flap Multiple Digit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010205","Bursektomi Mini Open dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010217","Fasciotomi dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010223","Amputasi Distal dari Metacarpal > 1 Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010224","Debridement Fraktur Terbuka"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010226","Closed Reduction dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010227","Finger Tip Injury Single Digiti dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010237","Finger Tip Injury 2 Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010240","Discography 1 Level"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010250","Repair Ligamen"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010251","Repair Vaskuler Besar dengan Graft"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010252","Syme'S Amputation"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010264","Mipo Sederhana"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010266","Tenotomy dengan Kontraktur"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010269","Debridement dan Soft Tissue Release pada Infeksi Sendi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010275","Repair Single Nerve Major"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010281","Repair Arteri Besar dengan Graft"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010291","Ekstraksi Loose Bodies dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010305","Microsurgery Repair Digital Nerve (Single)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010310","Arthroplasty Small Joint dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010320","Bone Graft"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010330","Debridement, Nekrotomy dan Saucerization pada Chronic Osteomyelitis"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010358","ORIF Bimaleolus"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010359","ORIF Fracture Base Metatarsal"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010361","ORIF Fracture Malleoulus (Single)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010364","ORIF K Wire Supracondylar Humerus Simple"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010365","ORIF K Wire Supracondylar Humerus + Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010367","ORIF Fracture Radius Ulna"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010368","ORIF Fracture Tibia Fibula"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010375","Posteromedial Soft Tissue Release CTEV"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010383","Remove Plate Screw"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010384","Remove Plate Screw + Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010387","Repair Tendon/ Syaraf/ Vaskular (Single)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010389","Reposisi Terbuka dan Fiksasi Interna pada Kasus Salter - Harris III, dan IV"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010401","ORIF with Wires and Screw"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010407","ORIF LCP Plate"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010409","ORIF Supracondylar Femur Single"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010412","ORIF Supracondylar Humerus Double Plate"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010414","Fiksasi (ORIF) Double Plate"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010443","Selective Nerve Root Block (SNRB)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010445","ORIF Wire Clavicula"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010446","ORIF Plate and Screw Clavicula"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010452","Amputasi Small Limb/ Joint"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010463","ORIF Tension Band Wiring Patella"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010471","Joint Stiffness Liberation"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010473","ORIF Malleolus (Single) + Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010475","Multiple Flexor Tendon Repair"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010476","ORIF Tibia Proximal/ Distal"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010477","ORIF Femur Distal"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010488","Pasang K-Wire 2-3 Jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 1","BOTD010495","Fraktur Amputasi ≥ 3 Jari + Debridement"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010013","Artrodesis Sendi Besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010014","Triple Artrodesis"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010037","Eksisi Tophus 4 - 5 buah"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010065","Medial Patello Femoral Ligament (MPFL) Reconstruction"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010067","Patellofemoral Realignment"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010069","Tendon Transfer 1 - 2 buah"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010073","ORIF Fracture Kompleks/ K Nail/ Interlocking Nail"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010080","Femur Osteotomi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010081","Korektif Osteotomi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010086","Tibia Osteotomi"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010089","Rekonstruksi Tulang CTEV"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010093","Rekonstruksi Defect Tulang dengan Bone Graft"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010096","Release De Quervain"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010098","Release Epicondylitis"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010113","Repair Hammer Toe"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010115","Repair Mallet Finger"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010120","Rekonstruksi Tendon Achilles"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010125","Open Reduction Dislokasi Sendi Besar Kasus Lama"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010127","Open Reduction Dislokasi Sendi Besar"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010138","Synovectomy Major Joint"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010170","Derotational Arthroplasty"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010171","Girdlestone Arthroplasty"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010185","ORIF Fracture Kompleks"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010188","ORIF dengan Interlocking Nail"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010202","Rekonstuksi Manus dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010208","Arthroscopy Wrist Joint"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010230","Jaringan Granulasi - Split Thickness Skin Graft (STSG)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010236","Skin Graft (Panjang + Lebar < 20 cm)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010254","Cubital Periarthroscopy"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010255","Repair Tendon Achilles Kompleks"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010257","Discography > 1 Level"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010258","Crush Injury Lengan"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010265","Haglund Osteotomy"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010268","Intradiscal Electrothermal Therapy 1 Level (IDET)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010270","ORIF Fracture Tulang Panjang pada Anak"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010273","Repair Ligamen dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010274","Repair Vaskuler Besar dengan Graft dan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010276","Syme'S Amputation dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010290","Rekonstruksi Patela dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010296","Major Excision of Malignant Tumor dengan Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010297","Major Soft Tissue Muscle dan Tendon Release in Deformities of Cerebral Plasty + Penyulit"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010306","Jari, Deformity, Intrinsic Muscle Release/ Tranfer/ Extensor Relocation"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010316","Amputation of The Arm, Fore Arm, Below Knee, and Above Knee"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010323","Bony Reconstruction pada Ekstremitas Bawah Anak"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010324","Bursektomi Mini Open"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010332","Decompresion of Nerve Entrapment Sindrome"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010344","Locking Proximal Humerus Plate (LPHP)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010345","Multiple Digit Fingertip Injury > 2 jari"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010346","Multiple Nerve Repair (Eg. Brachial, Plexus Injury)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010349","Negletica Achilles Tendon Repair"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010355","Operasi Rekonstruksi Ibu Jari Kaki pada Halux Valgus"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010362","ORIF Fracture Plate Khusus"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010369","Osteotomy (Bowing, Pseudo Arthrosis)"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010372","Percutaneous Tendon Tenotomy"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010376","Rekonstruksi Dislokasi Shoulder Mini Open"
"Mitra Keluarga Bekasi Timur","BEDAH ORTHOPEDI","BESAR 2","BOTD010378","Rekonstruksi Rotator Cuff"
