"rumah_sakit","specialty","golongan","nama_layanan"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Sphinterectomi Ani"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Syndactily"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Sinevektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Bone Graft"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Gastrostomi Witzel"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Herniotomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Prostatektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Nefrektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Herniotomi + Mesh"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Ekstirpasi Kista Ateroma Multiple"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Hecting Luka Kompleks"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Tutup Defek Luas"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Mediastinostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Polipektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Anastomosis/ Rekontruksi/ Repair Pembuluh Darah"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Debridement Abses Submandibula/ Flegmon"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Pasang Ipc (Indwelling Pleural Catheter)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Av Shunt Radiocephalica"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Repair Dawir"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Open Repair Hernia Inguinalis Bilateral"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Hecting + Eksplorasi Luka Sedang"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Herniotomi Anak Unilateral"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Repair Omfalokel"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Revision of Intestinal Stoma Not Otherwise"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Evakuasi Feces/ Skibala dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Eksplorasi Corpus Alienum dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Hernioraphy"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Eksisi Kista Bronchiogenic"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Bullectomy Combustio"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Debridement Luka Bakar > 30%"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Fisurektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Eksisi Tumor Kulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","T - Tube Cholangiography"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Pemasangan Drain Vacum"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Amputasi Transmetatarsal/ Through Foot"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","PILA (Paran Injection Ligation for Ambeien)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Abdominal Drainase"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Repair Fistel"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Breast Conserving Surgery"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Compartement Eksision"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Eksisi Tumor Jinak Multiple Besar"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Kolesistostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparoskopi Inguinal Hernia Repair 1 Sisi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparoskopi Ventral Hernia Repair"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Appendektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Adhesiolisis"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Ileostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Kolostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Repair Perforasi Usus"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Repair Ruptur Hepar"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Reduksi Invaginasi tanpa Reseksi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Splenektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Eksplorasi + Splenoraphy"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Laparotomi Kolesistektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Lumpektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Mastektomi Radikal Unilateral"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Mastektomi Simple Unilateral"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 1","Mastektomi Subkutaneus"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Parotidektomi Superfisial"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Reduksi Invaginasi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Hernia + Re - Anastomosis Usus"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Hernia + Reseksi Omentum"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Hernia Inguinal 1 Sisi + Ligasi Tinggi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Stapled Hemoroidopexy"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Trombektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Wide Eksisi Soft Tissue Tumor + STSG"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Ligasi Komunikan Varises"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Vl Kompleks Mukosa Bibir/ Rongga Mulut"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Embolektomi Perifer"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Hemiglossektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Rekonstruksi Vaskuler Perifer"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Eksisi Luas + Rekonstruksi dengan Flap"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Reseksi Usus dan Anastomosis"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Splenektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Cholesistektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Haemoroid Stappler"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Skleroterapi Hemoroid"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Drainase Abses Hepar"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Fistulektomi Metode Filac (Laser)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Laparotomi Eksplorasi + Repair Perforasi Gaster/ Duodenum"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Laparoskopi Appendektomi dengan Penyulit (Perlengketan/ Infiltrat)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Laparotomi Kolesistektomi dengan Penyulit (Perlengketan/ Empyema Gb)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Keloid dengan Flap"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Vl Wajah Kompleks"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Laser Haemorhoidoplasty"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Reseksi Kolektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Adhesiolisis Simple"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Eksisi Gynecomastia Bilateral/ 2 Sisi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Hecting + Explorasi Luka Besar"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Hemoroidektomi dengan Penyulit (Interna dan Eksterna, Trombus Sirkuler)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Herniotomi Dewasa Bilateral"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Repair Omfalokel Besar"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Tutup Kolostomi/ Ileostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Ileostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Kolostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Trakeostomi dengan Penyulit (Obese, Oedema)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Biopsi Eksisi dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Evakuasi Fecaloma"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Fasciotomy"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Eksisi Hygroma"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","FILAC (Fistula Laser Closure) Kompleks/ Multiple"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Lobectomy"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Diseksi KGB Axilla"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Diseksi KGB Inguinal"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Duhamel Pull - Through"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Duodenoduodenostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Duodenojejunostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Fundoplication"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Gastrektomi Parsial (Billroth I)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Gastrektomi Parsial (Billroth II)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Hartman Procedure"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Hepatik Portoenterostomi (Kasai)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Laparoskopi Eksplorasi + Adhesiolisis"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","BESAR 2","Laparoskopi Eksplorasi + Drainase"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Inguinal Hernia Repair 2 Sisi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Kolesistektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Adhesiolisis + Ileostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Adhesiolisis + Kolostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Hemikolektomi Dextra"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Hemikolektomi Sinistra"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Reseksi Anastomosis Sigmoid"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Kolesistektomi + Eksplorasi CBD + T Tube"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Low Anterior Resection"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Miles Procedure"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Modifikasi RND/ Functional Neck Dissection"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Pankreatektomi Parsial"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Parotidektomi Total"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Pintasan Biliodigestif"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Reseksi Hepar"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Tiroidektomi Total"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Tiroidektomi Total dengan Berry Picking"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Transeksi/ Reseksi Esofagus"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Whipple Procedure (Pankreatiko - Doudenektomi)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi + Repair Hernia Diafragmatika"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Torakotomi Darurat"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Mastektomi Radikal Unilateral + Diseksi Axilla"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Reseksi Anastomosis Usus"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Reseksi Gaster (Billroth 1-2)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Hernia Diafragmatika"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Release Perlengketan"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Adhesiolisis Kompleks"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi Cbd"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Eksisi Tumor Jinak Multiple (14 - 24 Buah)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Ventral Hernia Repair Defek Besar dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Gastrojejunostomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Hernia Repair dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparatomy Eksisi Tumor Retro Peritoneal"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Mastektomi Radikal Modifikasi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Reseksi Bula Paru"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Kolektomi Total + Anastomosis Ileoanal"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Kolesistektomi + Eksplorasi CBD"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparoskopi Kolorektal"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Mastektomi Radikal Bilateral"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Reduksi Invaginasi + Reseksi Segmen Usus"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Laparotomi Eksplorasi + Debulking/ Bypass"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 1","Eksisi Tumor Jinak Multiple (> 25 Buah)"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Laparotomi Hemikolektomi/ Sigmoidektomi dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Bariatric of Surgery"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Laparoskopi Kolesistektomi dengan Penyulit"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Laparotomi Eksplorasi + Adhesiolisis + Appendiktomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Laparaskopi Hemikolektomi/ Sigmoidektomi"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Laparotomi Eksplorasi + Adhesiolisis + Repair Gaster"
"Mitra Keluarga Grand Wisata","BEDAH UMUM","KHUSUS 2","Laparotomi Eksplorasi + Reduksi Invaginasi + Reseksi Anastomosis"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Angkat Jahitan Anak dengan Narkose"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Ekstraksi Corpus Alineum Cornea"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Insisi Chalazion"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Insisi Hordeolum"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Anel Sondase"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Injeksi Intravitreal"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Probing Duktus Nasolakrimalis"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Ekstraksi Corpus Alineum Konjungtiva"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Ekstraksi Corpus Alineum Palpebra"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Ekstirpasi Lithiasis"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Eksisi Pterigium + Konjungtivaplasti"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Ekstirpasi Granuloma Multiple"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Insisi Abses Palpebra"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Insisi Abses Palpebra pada Anak"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Aspirasi/ Irigasi/ Reformasi COA"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Eksisi Pterigium"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Eksisi Pterigium + CLG"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Ekstirpasi Xantelasma"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Repair Ruptur Konjungtiva < 1 cm"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Repair Ruptur Palpebra"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Reposisi IOL"
"Mitra Keluarga Grand Wisata","MATA","KECIL","Sekunder IOL"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Iridektomi"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Ekstirpasi Kista Konjungtiva"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","ECCE/ SICS + Trabekulektomi + IOL"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Insisi Hordeolum/ Chalazion Anak dengan Narkose"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Aspirasi Sisa Korteks"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Autograf Konjungtiva"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Ekstraksi Corpus Alineum dengan Komplikasi"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Ekstirpasi Tumor Kecil Palpebra"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","ECCE/ ICCE/ SICS"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Repair Ruptur Palpebra (dengan Rupture Canalis Lacrimalis)"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Phacoemulsifikasi I"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Repair Entropion"
"Mitra Keluarga Grand Wisata","MATA","SEDANG","Repair Ektropion"
"Mitra Keluarga Grand Wisata","MATA","BESAR 1","Repair Strabismus"
"Mitra Keluarga Grand Wisata","MATA","BESAR 1","Trabekulektomi"
"Mitra Keluarga Grand Wisata","MATA","BESAR 1","Repair Entropion dan Ektropion"
"Mitra Keluarga Grand Wisata","MATA","BESAR 1","Repair Ruptur Palpebra Luas"
"Mitra Keluarga Grand Wisata","MATA","BESAR 1","Ektirpasi Granuloma"
"Mitra Keluarga Grand Wisata","MATA","BESAR 1","Eviserasi + DFG"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Repair of Laceration, Cornea and/ or Sclera, Perforating"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Repair of Laceration, Cornea, non Perforating"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Blepharoplasti 1 Mata"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Eviserasi Bulbi"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Enukleasi Bulbi"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Enukleasi + DFG"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Repair Ruptur Palpebra Luas + Skin Graft"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","ICCE + Trabekulektomi (Double Procedure)"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Rekonstruksi Ptosis"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Dakriosistorinostomi"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Extended Eksenterasi"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Keratoplasti"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Orbital Dekompresi"
"Mitra Keluarga Grand Wisata","MATA","BESAR 2","Vitrektomi"
"Mitra Keluarga Grand Wisata","MATA","KHUSUS 1","Orbitotomi"
"Mitra Keluarga Grand Wisata","MATA","KHUSUS 1","Phacoemulsifikasi + Trabekulektomi + IOL"
"Mitra Keluarga Grand Wisata","MATA","KHUSUS 1","Ablatio Retina"
"Mitra Keluarga Grand Wisata","MATA","KHUSUS 1","Vitrektomi + Ekstraksi Corpus Alineum Intra Ocular"
"Mitra Keluarga Grand Wisata","MATA","KHUSUS 1","Pneumopexy/ Silikon + Scleral Buckle"
"Mitra Keluarga Grand Wisata","GIGI","KECIL","Windowing"
"Mitra Keluarga Grand Wisata","GIGI","KECIL","Frenektomi Labialis"
"Mitra Keluarga Grand Wisata","GIGI","KECIL","Perawatan 1 - 7 Gigi Sulung (Penambalan GIC/ Komposit/ Ekstraksi Gigi/ PSA 1 Visit/ Scalling)"
"Mitra Keluarga Grand Wisata","GIGI","SEDANG","Perawatan 1 - 7 Gigi Tetap (Penambalan GIC/ Komposit/ Ekstraksi Gigi/ PSA 1 Visit Gigi Anterior/ Scalling)"
"Mitra Keluarga Grand Wisata","GIGI","SEDANG","Perawatan 8 - 14 Gigi Sulung (Penambalan GIC/ Komposit/ Ekstraksi Gigi/ PSA 1 Visit/ Scalling)"
"Mitra Keluarga Grand Wisata","GIGI","BESAR 1","Perawatan 8 - 14 Gigi Tetap (Penambalan GIC/ Komposit/ Ekstraksi Gigi/ PSA 1 Visit Gigi Posterior/ Scalling)"
"Mitra Keluarga Grand Wisata","GIGI","BESAR 1","Full Mouth Preparation (Tindakan pada Seluruh Gigi Sulung/ Tetap atau Lebih dari 14 Gigi)"
"Mitra Keluarga Grand Wisata","GIGI","BESAR 2","Frenektomi Lingualis"
"Mitra Keluarga Grand Wisata","GIGI","KHUSUS 1","Full Mouth Preparation (Tindakan pada Seluruh Gigi Disertai Pembedahan Jaringan Lunak Lain Seperti Flenektomi/ Gaingivektomi/ Eksisi Epulis)"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Alveolektomi 1 Segmen"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Ekstirpasi Mucocel"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Ekstraksi 1 - 2 gigi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Insisi Abses Intra Oral"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Operkulektomi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Eksisi Biopsi Tumor Jinak"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Hecting 1 - 2"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Alveolektomi 2 Segmen"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Apex Resection 1 Akar"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Biopsi Insisi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Debridement"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Eksisi Tumor Kecil"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Ekstraksi 3 - 5 Gigi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Insisi Abses Ekstra Oral"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Kuretase 1 segmen"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","KECIL","Aff Archbar"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Debridement Fraktur Dentoalveolar 1 Rahang"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Eksisi Biopsi Tumor Jinak + Multiple Ekstraksi Gigi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Hecting > = 2"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Aff Implant"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Repair Soft Tissue"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Reposisi Temporomandibular Joint"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Oroantral Fistula Buccal Flap Closure"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Aff Fiksasi Maksila + Mandibula"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Biopsi Intra Bon/ Tumor Jinak"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Alveolektomi > 2 Segmen"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Apex Resection 2 Akar"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Apex Resection > 2 Akar"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Blok Reseksi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Eksisi Tumor Besar"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Ekstraksi 6 - 10 Gigi"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Enukleasi Kista Sederhana"
"Mitra Keluarga Grand Wisata","BEDAH MULUT","SEDANG","Frenektomi"
